date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:13:58	43213/43213	---M-Z	200	added ('OK')	text/html	etag:%2222d4-58515c1ad630d%22	https://wascade.ma/services/poste-dappatage-masterbox-big/	C:/My%20Web%20Sites/wascade/wascade.ma/services/poste-dappatage-masterbox-big/index.html	(from https://wascade.ma/)
23:13:59	46557/46557	---M-Z	200	added ('OK')	text/html	etag:%222649-5850c36b0fb27%22	https://wascade.ma/services/cage-de-capture-pour-rats/	C:/My%20Web%20Sites/wascade/wascade.ma/services/cage-de-capture-pour-rats/index.html	(from https://wascade.ma/)
23:14:00	46112/46112	---M-Z	200	added ('OK')	text/html	etag:%2225c3-58515c1b926c9%22	https://wascade.ma/services/masterbox-plus-transparent/	C:/My%20Web%20Sites/wascade/wascade.ma/services/masterbox-plus-transparent/index.html	(from https://wascade.ma/)
23:14:00	7474/7474	---M--	200	added ('OK')	image/jpeg	etag:%221d32-568584618e280%22	https://wascade.ma/wp-content/uploads/2018/03/MASTERBOX-PLUS-255x182.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/03/MASTERBOX-PLUS-255x182.jpg	(from https://wascade.ma/)
23:14:02	45255/45255	---M-Z	200	added ('OK')	text/html	etag:%22254e-58511cb74dc5a%22	https://wascade.ma/services/eurofly/	C:/My%20Web%20Sites/wascade/wascade.ma/services/eurofly/index.html	(from https://wascade.ma/)
23:14:03	63358/63358	---M--	200	added ('OK')	image/png	etag:%22f77e-56a48b1290b80%22	https://wascade.ma/wp-content/uploads/2018/04/eurofly-255x182.png	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/04/eurofly-255x182.png	(from https://wascade.ma/)
23:14:03	23515/23515	---M--	200	added ('OK')	image/jpeg	etag:%225bdb-568585f9ba580%22	https://wascade.ma/wp-content/uploads/2018/03/lmpe.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/03/lmpe.jpg	(from https://wascade.ma/)
23:14:03	14043/14043	---M--	200	added ('OK')	image/jpeg	etag:%2236db-5685862e2e140%22	https://wascade.ma/wp-content/uploads/2018/03/CDG-Capital.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/03/CDG-Capital.jpg	(from https://wascade.ma/)
23:14:03	26726/26726	---M--	200	added ('OK')	image/jpeg	etag:%226866-568585ea78180%22	https://wascade.ma/wp-content/uploads/2018/03/marjane.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/03/marjane.jpg	(from https://wascade.ma/)
23:14:03	17307/17307	---M--	200	added ('OK')	image/jpeg	etag:%22439b-568585b9d4ec0%22	https://wascade.ma/wp-content/uploads/2018/03/sntl.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/03/sntl.jpg	(from https://wascade.ma/)
23:14:03	29471/29471	---M--	200	added ('OK')	image/jpeg	etag:%22731f-568585e2d6f80%22	https://wascade.ma/wp-content/uploads/2018/03/masen-1.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/03/masen-1.jpg	(from https://wascade.ma/)
23:14:03	22028/22028	---M--	200	added ('OK')	image/jpeg	etag:%22560c-568585b510380%22	https://wascade.ma/wp-content/uploads/2018/03/SGTM.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/03/SGTM.jpg	(from https://wascade.ma/)
23:14:04	59464/59464	---M--	200	added ('OK')	image/jpeg	etag:%22e848-56858632f2c80%22	https://wascade.ma/wp-content/uploads/2018/03/casa-american.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/03/casa-american.jpg	(from https://wascade.ma/)
23:14:04	17451/17451	---M--	200	added ('OK')	image/jpeg	etag:%22442b-5685865824440%22	https://wascade.ma/wp-content/uploads/2018/03/Alqudra.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/03/Alqudra.jpg	(from https://wascade.ma/)
23:14:04	27102/27102	---M--	200	added ('OK')	image/jpeg	etag:%2269de-56858648e2040%22	https://wascade.ma/wp-content/uploads/2018/03/caisse-d-epargne.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/03/caisse-d-epargne.jpg	(from https://wascade.ma/)
23:14:05	29056/29056	---M--	200	added ('OK')	image/jpeg	etag:%227180-5685860437e40%22	https://wascade.ma/wp-content/uploads/2018/03/grand-mogador1.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/03/grand-mogador1.jpg	(from https://wascade.ma/)
